notemigonus: notemigonuses
nothofagus: nothofaguses
notophthalmus: notophthalmuses
notoryctus: notoryctuses
notropis: notropises
numenius: numeniuses
nycticebus: nycticebuses
nymphalis: nymphalises
nymphicus: nymphicuses
oceanus: oceanuses
ocimum: ocimums
ocyurus: ocyuruses
odobenus: odobenuses
odocoileus: odocoileuses
odontaspis: odontaspises
odontophorus: odontophoruses
odysseus: odysseuses
odyssey: odysseys
oecanthus: oecanthuses
oedipus: oedipuses
oedogonium: oedogoniums
oengus: oenguses
oestrus: oestruses
ofo: ofoes
ohio: ohioes
ojibway: ojibways
oligoporus: oligoporuses
olympus: olympuses
oman: omans
omdurman: omdurmans
omphalotus: omphalotuses
onchorynchus: onchorynchuses
oniscus: oniscuses
onobrychis: onobrychises
ononis: ononises
onopordum: onopordums
onosmodium: onosmodiums
ontario: ontarioes
onychium: onychiums
ophioglossum: ophioglossums
ophiophagus: ophiophaguses
ophisaurus: ophisauruses
ophiurida: ophiuridae
opisthocomus: opisthocomuses
optez: optezzes
orcinus: orcinuses
orcus: orcuses
orectolobus: orectolobuses
oreopteris: oreopterises
orinoco: orinocoes
oriolus: orioluses
orlando: orlandoes
orleanais: orleanaises
ornithogalum: ornithogalums
ornithorhynchus: ornithorhynchuses
orontium: orontiums
orpheus: orpheuses
ortalis: ortalises
orthopristis: orthopristises
orthotomus: orthotomuses
orudis: orudises
orycteropus: orycteropuses
oryctolagus: oryctolaguses
oryzopsis: oryzopsises
osiris: osirises
oslo: osloes
osmanthus: osmanthuses
osmerus: osmeruses
ostryopsis: ostryopsises
otis: otises
oto: otoes
otus: otuses
ouranopithecus: ouranopithecuses
ovis: ovises
oxybelis: oxybelises
oxydendrum: oxydendrums
oxylebius: oxylebiuses
oxytropis: oxytropises
oxyuranus: oxyuranuses
ozonium: ozoniums
ozothamnus: ozothamnuses
pablum: pablums
pachyrhizus: pachyrhizuses
pagellus: pagelluses
pagophilus: pagophiluses
pagrus: pagruses
pagurus: paguruses
palaquium: palaquiums
palermo: palermoes
palinurus: palinuruses
paliurus: paliuruses
pamlico: pamlicoes
panicum: panicums
panonychus: panonychuses
paphiopedilum: paphiopedilums
papio: papioes
paprilus: papriluses
paradoxurus: paradoxuruses
paraguay: paraguays
paramaribo: paramariboes
paranthropus: paranthropuses
parasitaxus: parasitaxuses
parathelypteris: parathelypterises
paris: parises
parnassus: parnassuses
parochetus: parochetuses
parrotiopsis: parrotiopsises
parthenium: partheniums
parthenocissus: parthenocissuses
parus: paruses
pasch: paschs
pashto: pashtoes
passero: passeroes
pasto: pastoes
patavium: pataviums
pavo: pavoes
paxto: paxtoes
pediculus: pediculuses
pedilanthus: pedilanthuses
pediocactus: pediocactuses
